SINONIMIA,MEDICAMENTO
AEROBACTER AEROGENES                              ,ENTEROBACTER AEROGENES
AEROBACTER CLOACAE                                ,BACILLUS PATERSON Nº 7
AERUGO                                            ,CUPRUM ACETICUM
AESCULUS                                          ,AESCULUS HIPPOCASTANUM
AESCULUS CARNEA                                   ,AESCULUS GLABRA
AESCULUS ECHINATA                                 ,AESCULUS GLABRA
AESCULUS HIP                                      ,AESCULUS HIPPOCASTANUM
AESCULUS OHIOENSIS                                ,AESCULUS GLABRA
AESCULUS PALLIDA                                  ,AESCULUS GLABRA
AESCULUS RUBICUNDA                                ,AESCULUS GLABRA
AESCULUS WATSONIANA                               ,AESCULUS GLABRA
AETHANOLUM                                        ,ETHANOLUM
AETHER                                            ,ETHER
AETHIOPS                                          ,AETHIOPS ANTIMONIALIS
AETHIOPS MERCURIALIS                              ,AETHIOPS MERCURIALIS-MINERALIS
AETHIOPS MINERALIS                                ,MERCURIUS SULPHURATUS NIGER
AETHUSA                                           ,AETHUSA CYNAPIUM
AFRICAN ELEPHANT MILK                             ,LAC LOXODONTA
AFRICAN KNAPWEED                                  ,CENTAUREA TAGANA
AGARICUS BULBOSUS                                 ,AMANITA PHALLOIDES
AGARICUS FULVUS                                   ,AGARICUS MUSCARIUS
AGARICUS IMPERIALIS                               ,AGARICUS MUSCARIUS
AGARICUS MACULATUS                                ,AGARICUS MUSCARIUS
AGARICUS MUSC                                     ,AGARICUS MUSCARIUS
AGARICUS PHALLOIDES                               ,AMANITA PHALLOIDES
AGARICUS PLUMBAEUS                                ,AGARICUS MUSCARIUS
AGARICUS PUELLA                                   ,AGARICUS MUSCARIUS
AGARICUS PUSTULATUS                               ,AGARICUS MUSCARIUS
AGARICUS VERRUCOSUS                               ,AGARICUS MUSCARIUS
AGAVE ATROVIRENS                                  ,AGAVE TEQUILANA
AGAVE RIGIDA                                      ,AGAVE TEQUILANA
AGERIA OPACA                                      ,ILEX AQUIFOLIUM
AGONIADA                                          ,PLUMERIA LANCIFOLIA
AGRIAO                                            ,NASTURTIUM OFFICINALE
AGRIMONIA                                         ,AGRIMONIA EUPATORIA
AGROPYRUM REPENS                                  ,TRITICUM REPENS
AGUA REGIA                                        ,ACIDUM NITR0-MURIATICUM
AGUA SANITARIA (H)                                ,HIPOCLORITO DE SODIO
AILANTHUS GLAND                                   ,AILANTHUS GLANDULOSA
AIPO                                              ,APIUM GRAVEOLENS
AJUGA                                             ,AJUGA REPTANS
ALABASTRO                                         ,ALABASTER
ALBUM HISPANICUM                                  ,BISMUTHUM SUBNITRICUM
ALBUMINA                                          ,ALBUMINUM
ALCACHOFRA                                        ,CYNARA SCOLYMUS
ALCACUZ (H)                                       ,GLYCYRRHIZA GLABRA
ALCACUZ DO BRASIL                                 ,PELIANDRA DULCIS
ALCEAE EGYPTIACEAE                                ,ABELMOSCHUS
ALCOHOL LAMPADII                                  ,CARBONEUM SULPHURATUM
ALCOHOL SULPHURIS                                 ,CARBONEUM SULPHURATUM
ALCOHOL SULPHURIS LAMPADII                        ,CARBONEUM SULPHURATUM
ALCOHOLUS                                         ,ETHANOLUM
ALCOOL ETILICO (H)                                ,ETHANOLUM
ALCOOL METILICO                                   ,METHANOL
ALDEHYDUM                                         ,FORMALINUM
ALECRIM                                           ,ROSMARINUS OFFICINALIS
ALERGENOS 1+2+3+4 1700FC A 50FC (50FC/50FC)       ,A 1+2+3+4 1700FC A 50FC (50FC/50FC)
ALERGORAL,ANTIGENOS DESSENSIBILIZANTES
ALERGORAL (PRODUTO INDUSTRIALIZADO)               ,ANTIGENOS DESSENSIBILIZANTES
ALETRIS FAR                                       ,ALETRIS FARINOSA
ALEXINA                                           ,COMPLEMENTO
ALFA TOCOFEROL (H)                                ,VITAMINA E
ALFACE BRAVA                                      ,LACTUCA VIROSA
ALFACE COMUM                                      ,LACTUCA SATIVA
ALFAFA                                            ,MEDICAGO SATIVA
ALFAFA (MEDICAGO SATIVA)                          ,MEDICAGO SATIVA
ALFAVACA                                          ,OCIMUM BASILICUM
ALGODAO                                           ,GOSSYPIUM HERBACEUM
ALGODOEIRO                                        ,GOSSYPIUM HERBACEUM
ALHO                                              ,ALLIUM SATIVUM
